IATA,ICAO,Airline,Call sign,Country/Region,Comments
,JTN,,JET TEST,United States,
,WYT,2 Sqn No 1 Elementary Flying Training School,WYTON,United Kingdom,Royal Air Force
,BRO,2Excel Aviation,BROADSWORD,United Kingdom,
PR,BOI,2GO,ABAIR,Philippines,
,SEC,3D Aviation,SECUREX,United States,
,QRT,4D Air,QUARTET,Thailand,Defunct
,EVY,"34 Squadron, Royal Australian Air Force",Australia,,
Q5,MLA,40-Mile Air,MILE-AIR,United States,
,PIU,43 Air School,PRIMA,South Africa,
,GNL,135 Airways,GENERAL,United States,
,TFU,213th Flight Unit,THJY,Russia,State Airline
,CHD,223rd Flight Unit,CHKALOVSK-AVIA,Russia,State Airline
,TTF,224th Flight Unit,CARGO UNIT,Russia,State Airline
,TWF,247 Jet Ltd,CLOUD RUNNER,United Kingdom,
,GBT,A-Jet Aviation Aircraft Management,GLOBETROTTER,Austria,
,AJR,A-Jet Aviation Company,JET MONGOLIA,Mongolia,
,SFM,A-Safar Air Services,AIR SAFAR,Nigeria,
,AJJ,A2 Jet Leasing,ATLANTIC JET,United States,
,XXV,AASANA,,Bolivia,
,BBE,Ababeel Aviation,BABEL AIR,Sudan,
1B,,Abacus International,,Singapore,Computer reservation system
,ABJ,Abaeté Linhas Aéreas,,Brazil,defunct
,NKP,Abakan Air,ABAKAN AIR,Russia,2014[1]
RL,ABG,Abakan-Avia,ROYAL FLIGHT,Russia,
,ABE,Aban Air,ABAN,Iran,Former IATA code: K5
,MRP,Abas,ABAS,Czech Republic,
,AHU,ABC Air Hungary,ABC HUNGARY,Hungary,defunct
,FTY,ABC Bedarfsflug,FLY TYROL,Austria,
W9,AAB,Abelag Aviation,ABG,Belgium,defunct
,BDV,Aberdair Aviation,ABERDAV,Kenya,
,ROH,Aberdair Aviation Ghana,,Ghana,
,ADJ,Abidjan Air Cargo,ABICAR,Côte d'Ivoire,defunct
,ABP,ABS Jets,BAIR,Czech Republic,Named changed from Aba Air
M3,TUS,ABSA Cargo,Turismo,Brazil,
,TTN,Absolute Flight Services,TITANIUM,South Africa,
GB,ABX,ABX Air,ABEX,United States,"August 15, 2003 Air operations of former Airborne Express"
,IAE,AC Insat-Aero,,Russia,defunct
,NCL,ACA (Ancargo Air),ANCARGO AIR,Angola,defunct
,ACD,Academy Airlines,ACADEMY,United States,
ZA,CYD,AccessAir,CYCLONE,United States,defunct
,,Ace Air,ACE TAXI,South Korea,defunct as of September 2015
,CFM,ACEF,ACEF,Portugal,"Transportes Aéreos e Cargas, code no longer allocated"
,ARO,Acero Taxi,ACERO,Mexico,
VX,AES,ACES Colombia,ACES,Colombia,defunct
,BVR,ACM Air Charter,BAVARIAN,Germany,
,BJT,ACM Aviation,BAY JET,United States,
,CRV,Acropolis Aviation,ACROPOLIS,United Kingdom,
,ORS,Action Air,AVIATION SERVICE,Italy,"ICAO Code no longer allocated, defunct"
,AXQ,Action Airlines (Action Air Charter),ACTION AIR,United States,
,AVR,"Active Aero Charter, Inc.",ACTIVE AERO,United States,
,RRM,Acvila Air-Romanian Carrier,AIR ROMANIA,Romania,defunct
,ADC,AD Astra Executive Charter,AD ASTRA,Poland,
,VUE,AD Aviation,FLIGHTVUE,United Kingdom,
,ADE,Ada Air,ADA AIR,Albania,"defunct, former IATA code: ZY"
KI,DHI,Adam Air,ADAM SKY,Indonesia,defunct
Z7*,ADK,ADC Airlines,ADCO,Nigeria,defunct; former name: Aviation Development Company
,ADW,ADC Airways,,Lebanon,defunct
,DSC,Addis Air Cargo Services,ADDIS CARGO,Ethiopia,
,DDS,Addis Airlines,ADDIS LINE,Ethiopia,DEFUNCT
,ADF,"Ade, Aviación Deportiva",ADE AVIACION,Spain,
,TEC,ADI Shuttle Group,TECHJET,United States,
,SWH,Adler Aviation,SHOCKWAVE,Canada,
JP,ADR,Adria Airways,ADRIA,Slovenia,defunct as of September 2019
,DRO,Adro Servicios Aereos,ADRO SERVICIOS,Mexico,
,ADV,Advance Air Charters,ADVANCE,Canada,defunct
,AXX,Advance Air Luftfahrtgesellschaft,SKY SHUTTLE,Germany,
,AAX,Advance Aviation,ADVANCE AVIATION,Thailand,
,XTJ,Advance Aviation Services,,United States,
4G*,,Advance Leasing Company,,United States,
AN,WSN,Advanced Air,WINGSPAN,United States,2015[2]
,ADD,Advanced Air Co.,,Japan,ICAO Code no longer allocated
,ADV,Advanced Flight Training,ADVANCED,United Kingdom,
,DVN,Adventia,,Spain,
,MKP,Adygea Airlines,,Russia,defunct
,EBS,AEG Aviation Services,,United States,
A3,AEE,Aegean Airlines,AEGEAN,Greece,
RE,REA,Aer Arann,AER ARANN,Ireland,
EI,EIN,Aer Lingus,SHAMROCK,Ireland,
EG,EUK,Aer Lingus UK,GREEN FLIGHT,United Kingdom,
,ATT,Aer Turas,AERTURAS,Ireland,defunct
,ALS,Aeralp,AERALP,France,
,AEF,Aerea,,Spain,
,ADG,Aerea Flying Training Organization,AEREA TRAINING,Spain,
,CBV,Aereo Cabo,CABOAEREO,Mexico,
,DRD,Aereo Dorado,AEREO DORADO,Mexico,
,FUT,Aereo Futuro,AEREO FUTURO,Mexico,
,MMG,Aereo Ruta Maya,RUTA MAYA,Guatemala,
,TLD,Aereo Taxi Autlan,AEREO AUTLAN,Mexico,
,PZA,Aéreo Taxi Paraza,AEREO PARAZA,Mexico,
,AGI,Aereo Transportes Los Angeles de America,ANGELES AMERICA,Mexico,
,WWG,Aereo WWG,AERO-W,Mexico,
,ESB,Aereosaba,AEREOSABA,Mexico,
,TXI,Aereotaxis,AEREOTAXIS,Mexico,
,AGP,AERFI Group,AIR TARA,Ireland,
,ABF,Aerial Oy,SKYWINGS,Finland,
,SUY,Aerial Surveys (1980) Limited,SURVEY,New Zealand,
,AEZ,Aerial Transit,AERIAL TRANZ,United States,
,MBV,Aeriantur-M,AEREM,Moldova,defunct
,RIS,Aeris Gestión,AERIS,Spain,
,MMC,Aermarche,AERMARCHE,Italy,
,AED,Aernord,Aernspa,Italy,defunct
,SSM,Aero 1 Pro-Jet,RAPID,Canada,defunct
,RFC,Aero Africa,AERO AFRICA,Eswatini,
WI,WIL,Aero Air,WILLIAMETTE,United States,
,ILK,Aero Airline,ILEK,Kazakhstan,
EE,EAY,Aero Airlines,REVAL,Estonia,defunct
,ALB,Aero Albatros,ALBATROS,Mexico,
,ABM,Aero Albatros,ALBATROS ESPANA,Spain,
,DSK,Aero Algarve,SKYBANNER,Portugal,ICAO code no longer allocated
E4,RSO,Aero Asia International,AERO ASIA,Pakistan,defunct
,AAD,Aero Aviation Centre Ltd.,SUNRISE,Canada,Ceased operations 1995
,BNB,Aero Banobras,AEROBANOBRAS,Mexico,
,BLZ,Aero Barloz,AEROLOZ,Mexico,
EM*,AEB,Aero Benin,AEROBEN,Benin,defunct
,BGG,Aero BG,AERO BG,Mexico,
,BZS,Aero Biniza,BINIZA,Mexico,
,GBJ,Aero Business Charter,GLOBAL JET,Germany,
,CFV,Aero Calafia,CALAFIA,Mexico,
JR,SER,Aero California,AEROCALIFORNIA,Mexico,
,CRN,Aero Caribbean,AEROCARIBBEAN,Cuba,Merged into Cubana de Aviación in 2015
,GLT,Aero Charter,GASLIGHT,United States,
,CTA,Aero Charter and Transport,CHAR-TRAN,United States,
,KFK,Aero Charter Krifka,KRIFKA AIR,Austria,
,ITO,Aero Citro,AERO CITRO,Mexico,
,AKR,Aero Clinker,AERO CLINKER,Mexico,
,RRB,Aero Club de Castellon,,Spain,
,CLP,Aero Club De Portugal,CLUB PORTUGAL,Portugal,
,CGV,Aero Clube Do Algarve,CLUBE ALGARVE,Portugal,
,DFA,Aero Coach Aviation,AERO COACH,United States,
,,Aero Comondu,AERO COMONDU,Mexico,
Q6,CDP,Aero Condor Peru,CONDOR-PERU,Peru,
9D,CND,Aero Continente Dominicana,CONDOMINICANA,Dominican Republic,defunct
AJ,NIG,Aero Contractors,AEROLINE,Nigeria,
,LFC,Aero Control Air,LIFE FLIGHT CANADA,Canada,defunct
,PTE,Aero Copter,AERO-COP,Mexico,
,ARP,Aero Corporate,IVORYCORP,Côte d'Ivoire,
ML,AEK,Aero Costa Rica,ACORISA,Costa Rica,defunct
,XCT,Aero Costa Taxi Aéreo,AEROCOSTAXI,Mexico,
,ADL,Aero Dynamics,COTSWOLD,United Kingdom,
,AJO,Aero Ejecutivo,AEROEXO,Mexico,defunct
,EBC,Aero Ejecutivo De Baja California,CALIXJET,Mexico,
,VEJ,Aero Ejecutivos,VENEJECUTIV,Venezuela,
,ECG,Aero Ejecutivos RCG,EJECTUIVOS RCG,Mexico,
,EPU,Aero Elite Acapulco,ELITACAPULCO,Mexico,
